ItemNum,Description,ScheduleFee
47450,"Humerus, shaft of, treatment of fracture of, by internal or external fixation (H) (Anaes.) (Assist.)",514.85
47459,"Humerus, distal (supracondylar or condylar), treatment of fracture of, by open reduction (H) (Anaes.) (Assist.)",600.7
47465,"Clavicle, treatment of fracture of, by open reduction (Anaes.) (Assist.)",589.9
47519,"FEMUR, treatment of trochanteric or subcapital fracture of, by internal fixation (H) (Anaes.) (Assist.)",986.75
47528,"FEMUR, treatment of fracture of, by internal fixation or external fixation (H) (Anaes.) (Assist.)",858.1
47531,"FEMUR, treatment of fracture of shaft, by intramedullary fixation and cross fixation (H) (Anaes.) (Assist.)",1093.95
47534,"Femur, condylar region of, treatment of intra‑articular (T‑shaped condylar) fracture of, requiring internal fixation, with or without internal fixation of one or more osteochondral fragments (H) (Anaes.) (Assist.)",1233.4
47549,"Treatment of medial or lateral fracture of plateau of tibia, by open reduction, with internal fixation, including any of the following (if performed): (a) arthroscopy; (b) arthrotomy; (c) meniscal repair (H) (Anaes.) (Assist.)",613.2
47558,"Treatment of medial and lateral fractures of tibia, by open reduction, with internal fixation, including any of the following (if performed): (a) arthroscopy; (b) arthrotomy; (c) meniscal repair (H) (Anaes.) (Assist.)",1136.9
47565,"Tibia, shaft of, treatment of fracture of, by internal fixation or external fixation (H) (Anaes.) (Assist.)",811.55
47566,"Tibia, shaft of, treatment of fracture of, by intramedullary fixation and cross fixation (H) (Anaes.) (Assist.)",1034.5
47573,"Treatment of proximal or distal intra-articular fracture of shaft of tibia, by open reduction, with or without treatment of fibular fracture, including any of the following (if performed): (a) arthroscopy; (b) arthrotomy; (c) capsule repair; (d) removal of intervening soft tissue; (e) removal of loose fragments; (f) washout of joint; other than a service associated with a service to which another item in this Schedule applies if the service describedin the other item is for the purpose of treating a medial malleolus fractureof the distal tibia (H) (Anaes.) (Assist.)",777.6
47582,"Treatment of fracture of patella, with internal fixation, including bone grafting (if performed), other than a service associated with a service to which item 47579 or 47585 applies (H) (Anaes.) (Assist.)",482.8
47585,"Treatment of proximal or distal fracture of patella, by open reduction, with internal fixation, including any of the following (if performed): (a) arthrotomy; (b) excision of patellar pole, with reattachment of tendon; (c) removal of loose fragments; (d) repair of quadriceps or patellar tendon (or both); (e) stabilisation of patello-femoral joint (H) (Anaes.) (Assist.)",499.1
47588,"Knee joint, treatment of fracture of, by internal fixation of intra‑articular fractures of femoral condylar or tibial articular surfaces and requiring repair or reconstruction of one or more ligaments (H) (Anaes.) (Assist.)",1501.3
47600,"Treatment of fracture of ankle joint: (a) by internal fixation of the malleolus, fibula or diastasis; and (b) including any of the following (if performed): (i) arthrotomy; (ii) capsule repair; (iii) removal of loose fragments or intervening soft tissue; (iv) washout of joint (H) (Anaes.) (Assist.)",643.5
47603,"Treatment of fracture of ankle joint: (a) by internal fixation of 2 or more of the malleolus, fibula, diastasis and medial tissue interposition; and (b) including any of the following (if performed): (i) arthrotomy; (ii) capsule repair; (iii) removal of loose fragments or intervening soft tissue; (iv) washout of joint (H) (Anaes.) (Assist.)",811.55
47618,"Treatment of intra-articular fracture of hindfoot, by open reduction, with or without dislocation,including any of the following (if performed): (a) arthrotomy; (b) capsule repair; (c) removal of loose fragments or intervening soft tissue; (d) washout of joint —one hindfoot bone (H) (Anaes.) (Assist.)",670.3
47624,"Treatment of fracture of tarso-metatarsal, by open reduction, with or without dislocation, including any of the following (if performed): (a) arthrotomy; (b) capsule or ligament repair; (c) removal of loose fragments or intervening soft tissue; (d) washout of joint —one joint (H) (Anaes.) (Assist.)",643.5
47639,"Treatment of fracture of metatarsal, by open reduction, including removal of loose fragments or intervening soft tissue (if performed)—one metatarsal of one foot (Anaes.) (Assist.)",257.45
47738,"Nasal bones, treatment of fracture of, by reduction (Anaes.)",268.25
47915,Wedge resection for ingrowing nail of toe: (a) including each of the following: (i) removal of segment of nail; (ii) removal of ungual fold; (iii) excision and partial ablation of germinal matrix and portion of nail bed; and (b) including phenolisation (if performed) (Anaes.) (Assist.),193.1
47918,Complete ablation of nail germinal matrix: (a) including each of the following: (i) removal of segment of nail; (ii) removal of ungual fold; (iii) excision and ablation of germinal matrix and portion of nail bed; and (b) including phenolisation (if performed) (Anaes.) (Assist.),268.25
47927,"Removal of one or more buried wires, pins or screws (inserted for internal fixation purposes)—one bone (H) (Anaes.)",160.85
47929,"Removal of fixation elements (including plate, rod or nail and associated wires, pins, screws or external fixation), other than a service associated with a service to which item 47924 or 47927 applies—one bone (H) (Anaes.) (Assist.)",428.95
47953,"Repair of distal biceps brachii tendon, by any method, performed as an independent procedure (Anaes.) (Assist.)",493.25
47954,"Repair of traumatic tear or rupture of tendon, other than a service associated with: (a) a service to which item 39330 applies; or (b) a service to which another item in this Schedule applies if the service described in the other item is for the purpose of repairing peripheral nerve items in the same region (Anaes.) (Assist.)",428.95
47955,"Repair of gluteal or rectus femoris tendon, by open or arthroscopic means, when performed as an independent procedure, including either or both of the following (if performed): (a) bursectomy; (b) preparation of greater trochanter; other than a service associated with a service to which another item in this Schedule applies if the service described in the other item is for the purpose of performing a procedure on the hip (H) (Anaes.) (Assist.)",742.35
47956,"Repair of proximal hamstring tendon, performed as an independent procedure, other than a service associated with a service to which another item in this Schedule applies if the service described in the other item is for the purpose of performing a procedure on the hip (H) (Anaes.) (Assist.)",1113.5
48248,"Harvesting and insertion of bone graft (autograft) via separate incisions, including internal fixation of the graft or fusion fixation (or both) (H) (Anaes.) (Assist.)",551.8
48257,"Preparation and insertion of metallic, cortical or other graft substitute (allograft), where substitute is structural cortico-cancellous bone or structural bone (or both), including internal fixation (if performed) (H) (Anaes.) (Assist.)",454.1
48400,Operation on foot: (a) with either or both of the following: (i) osteotomy of phalanx or metatarsal for correction of deformity; (ii) excision of accessory bone or sesamoid bone; and (b) including any of the following (if performed): (i) removal of bone; (ii) excision of surrounding osteophytes; (iii) synovectomy; (iv) joint release; —one bone (H) (Anaes.) (Assist.),375.45
48403,"Osteotomy of phalanx of first toe or metatarsal, for correction of deformity, with internal fixation, including any of the following (if performed): (a) removal of bone; (b) excision of surrounding osteophytes; (c) synovectomy; (d) joint release; —one bone (H) (Anaes.) (Assist.)",589.9
48406,"Osteotomy of fibula, radius, ulna, clavicle, scapula (other than acromion), rib, tarsus or carpus, for correction of deformity, including any of the following (if performed): (a) removal of bone; (b) excision of surrounding osteophytes; (c) synovectomy; (d) joint release; —one bone (H) (Anaes.) (Assist.)",375.45
48409,"Osteotomy of fibula, radius, ulna, clavicle, scapula (other than acromion), rib, tarsus or carpus, for correction of deformity, with internal fixation, including any of the following (if performed): (a) removal of bone; (b) excision of surrounding osteophytes; (c) synovectomy; (d) joint release; —one bone (H) (Anaes.) (Assist.)",589.9
48412,"Osteotomy of humerus, without internal fixation (H) (Anaes.) (Assist.)",718.45
48415,"Osteotomy of humerus, with internal fixation (H) (Anaes.) (Assist.)",911.65
48419,"Osteotomy of distal tibia, for correction of deformity, without internal or external fixation, including any of the following (if performed): (a) excision of surrounding osteophytes; (b) release of joint; (c) removal of bone; (d) synovectomy; —one bone (H) (Anaes.) (Assist.)",718.45
48421,"Osteotomy of proximal tibia, to alter lower limb alignment or rotation (or both), with internal or external fixation (or both) (H) (Anaes.) (Assist.)",1047.05
48423,"Osteotomy of pelvis, in a patient aged 18 years or over, including any of the following (if performed): (a) associated intra-articular procedures; (b) bone grafting; (c) internal fixation (H) (Anaes.) (Assist.)",858.1
48426,"Osteotomy of femur, in a patient aged 18 years or over, including either or both of the following (if performed): (a) bone grafting; (b) internal fixation (H) (Anaes.) (Assist.)",1040.4
48427,"Osteotomy of femur, in a patient aged less than 18 years, including internal fixation (if performed), other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",1040.4
48430,"Excision of one or more osteophytes of the foot or ankle, or simple removal of bunion, including any of the following (if performed): (a) capsulotomy; (b) excision of surrounding osteophytes; (c) release of ligaments; (d) removal of one or more associated bursae or ganglia; (e) removal of bone; (f) synovectomy; —each incision (H) (Anaes.) (Assist.)",305.65
48433,"Treatment of non-union or malunion, with preservation of the joint, for ankle or hindfoot fracture, with internal or external fixation by any method, including any of the following (if performed): (a) arthrotomy; (b) debridement; (c) excision of surrounding osteophytes; (d) osteotomy; (e) release of joint; (f) removal of bone; (g) removal of hardware; (h) synovectomy; —one bone (H) (Anaes.) (Assist.)",1217.35
48903,"Shoulder, decompression of subacromial space by acromioplasty, excision of coraco‑acromial ligament and distal clavicle, or any combination (H) (Anaes.) (Assist.)",643.5
48906,"Shoulder, repair of rotator cuff, including excision of coraco‑acromial ligament or removal of calcium deposit from cuff, or both—other than a service associated with a service to which item 48900 applies (H) (Anaes.) (Assist.)",643.5
48909,"Shoulder, repair of rotator cuff, including decompression of subacromial space by acromioplasty, excision of coraco‑acromial ligament and distal clavicle, or any combination, other than a service associated with a service to which item 48903 applies (H) (Anaes.) (Assist.)",858.1
48918,"Anatomic or reverse total shoulder replacement, including any of the following (if performed): (a) associated rotator cuff repair; (b) biceps tenodesis; (c) tuberosity osteotomy; other than a service associated with a service to which another item in this Schedule applies if the service describedin the other item is for the purpose ofperforming a procedure on the shoulder region by open or arthroscopic means (H) (Anaes.) (Assist.)",1716.25
48921,"Shoulder, total replacement arthroplasty, revision of (H) (Anaes.) (Assist.)",1769.6
48924,"Revision of total shoulder replacement, including either or both of the following (if performed): (a) bone graft to humerus; (b) bone graft to scapula (H) (Anaes.) (Assist.)",2037.9
48948,"SHOULDER, arthroscopic surgery of, involving any 1 or more of: removal of loose bodies; decompression of calcium deposit; debridement of labrum, synovium or rotator cuff; or chondroplasty - not being a service associated with any other arthroscopic procedure of the shoulder region(H) (Anaes.) (Assist.)",697.2
48951,"SHOULDER, arthroscopic division of coraco-acromial ligament including acromioplasty - not being a service associated with any other arthroscopic procedure of the shoulder region(H) (Anaes.) (Assist.)",1018.95
48954,"Synovectomy of shoulder, performed as an independent procedure, including release of contracture (if performed), other than a service associated with a service to which another item in this Schedule applies if the service described in the other item is for the purpose of performing a procedure on the shoulder region by arthroscopic means (H) (Anaes.) (Assist.)",1072.5
48958,"Joint stabilisation procedure for multi-directional instability of shoulder, anterior or posterior repair, by open or arthroscopic means, including labral repair or reattachment (if performed), excluding bone grafting and removal of hardware, other than a service associated with a service to which another item in this Schedule applies if the service describedin the other item is for the purpose of performing a procedure on the shoulder region by arthroscopic means (H) (Anaes.) (Assist.)",1233.4
48960,"SHOULDER, reconstruction or repair of, including repair of rotator cuff by arthroscopic, arthroscopic assisted or mini open means; arthroscopic acromioplasty; or resection of acromioclavicular joint by separate approach when performed - not being a service associated with any other procedure of the shoulder region(H) (Anaes.) (Assist.)",1072.5
49104,"Repair of one or more ligaments of the elbow, for acute instability—within 6 weeks after the time of injury (H) (Anaes.) (Assist.)",603.25
49105,"Stabilisation of one or more ligaments of the elbow, for chronic instability, including harvesting of tendon graft—6 weeks or more after the time of injury (H) (Anaes.) (Assist.)",884.8
49109,"ELBOW, total synovectomy of(H) (Anaes.) (Assist.)",804.3
49112,"Radial head replacement of elbow, other than a service associated with a service to which item 49115 applies (H) (Anaes.) (Assist.)",804.3
49121,"Surgery of the elbow, by arthroscopic means, including any of the following (if performed): (a) chondroplasty; (b) drilling of defect; (c) osteoplasty; (d) removal of loose bodies; (e) release of contracture or adhesions; (f) treatment of epicondylitis; other than a service associated witha service to which another item in this Schedule applies if the service described in the other item is for the purpose of an arthroscopic procedure of the elbow (H) (Anaes.) (Assist.)",697.2
49124,"Excision of olecranon bursa, including bony prominence, other than a service associated with a service to which another item in this Schedule applies if the service describedin the other item is for the purpose of an arthroscopic procedure of the elbow (Anaes.) (Assist.)",423.25
49200,"Wrist, arthrodesis of, with synovectomy if performed, with or without internal fixation of the radiocarpal joint (H) (Anaes.) (Assist.)",933
49203,"Limited fusion of wrist, with or without bone graft, including each of the following: (a) ligament or tendon transfers; (b) partial or total excision of one or more carpal bones; (c) rebalancing procedures; (d) synovectomy (H) (Anaes.) (Assist.)",883.75
49215,"Reconstruction of single or multiple ligaments or capsules of wrist, including any of the following (if performed): (a) arthrotomy; (b) ligament harvesting and grafting; (c) synovectomy; (d) tendon harvesting and grafting; (e) insertion of synthetic ligament substitute (H) (Anaes.) (Assist.)",740.2
49221,"Treatment of wrist, by arthroscopic means, including any of the following (if performed): (a) drilling of defect; (b) removal of loose bodies; (c) release of adhesions; (d) synovectomy; (e) debridement; (f) resection of dorsal or volar ganglia; other than a service associated with a service to which another item in this Schedule applies if the service describedin the other item is for the purpose of performing an arthroscopic procedure of the wrist joint (H) (Anaes.) (Assist.)",697.2
49224,"Osteoplasty of wrist, by arthroscopic means, including either or both of the following (if performed): (a) excision of the distal ulna; (b) total synovectomy; other than a service associated with a service to which another item in this Schedule applies if the service described in the other item is for the purpose of performing an arthroscopic procedure of the wrist joint—2 or more distinct areas (H) (Anaes.) (Assist.)",804.3
49227,"Treatment of wrist by one of the following: (a) pinning of osteochondral fragment, by arthroscopic means; (b) stabilisation procedure for ligamentous disruption; (c) partial wrist fusion or carpectomy, by arthroscopic means; (d) fracture management; other than a service associated with a service to which another item in this Schedule applies if the service describedin the other item is for the purpose of performing an arthroscopic procedure of the wrist joint (H) (Anaes.) (Assist.)",804.3
49303,"Arthrotomy of hip, by open procedure, including any of the following (if performed): (a) lavage; (b) drainage; (c) biopsy (H) (Anaes.) (Assist.)",622.05
49315,"Hip, arthroplasty of, unipolar or bipolar(H) (Anaes.) (Assist.)",965.3
49318,"Total arthroplasty of hip, including minor bone grafting (if performed), other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",1501.3
49319,"Bilateral total arthroplasty of hip, including minor bone grafting (if performed), other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",2637.7
49321,"Complex primary arthroplasty of hip, with internal fixation, including either or both of the following (if performed): (a) structural bone graft; (b) insertion of synthetic substitutes or metal augments; other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",1823.45
49366,"Treatment of hip, by arthroscopic means, including any procedures to treat bone or soft tissue in the same area (if performed), other than a service associated with a service to which another item in this Schedule applies if the service described in the other item is for the purpose of performing: (a) a procedure of the hip joint by arthroscopic means; or (b) surgery for femoroacetabular impingement (H) (Anaes.) (Assist.)",697.2
49372,"Revision arthroplasty of hip, with exchange of head or liner (or both) (H) (Anaes.) (Assist.)",1050.85
49374,"Revision arthroplasty of hip, with exchange of head and acetabular shell or cup, including minor bone grafting (if performed) (H) (Anaes.) (Assist.)",1951.65
49376,"Revision arthroplasty of hip, with exchange of head and acetabular shell or cup, including major bone grafting (if performed) (H) (Anaes.) (Assist.)",2402.1
49378,"Revision arthroplasty of hip, with revision of femoral component (if there is no requirement for femoral osteotomy), including minor bone grafting (if performed) (H) (Anaes.) (Assist.)",2101.65
49380,"Revision arthroplasty of hip, with revision of femoral and acetabular components (if femoral osteotomy is not required), including minor bone grafting (if performed) (H) (Anaes.) (Assist.)",2552.15
49382,"Revision arthroplasty of hip, with revision of femoral and acetabular components (if femoral osteotomy is not required), including major bone grafting (H) (Anaes.) (Assist.)",3302.85
49396,"Revision arthroplasty of hip, including: (a) removal of prosthesis as stage 1 of a 2-stage revision arthroplasty or as a definitive stage procedure; and (b) insertion of temporary prosthesis (if performed) (H) (Anaes.) (Assist.)",3002.55
49398,"Revision arthroplasty of hip, including: (a) revision of femoral component for periprosthetic fracture; and (b) internal fixation; and (c) bone grafting (if performed) (H) (Anaes.) (Assist.)",2251.95
49500,"Knee, arthrotomy of, involving one or more of capsular release, biopsy or lavage, or removal of loose body or foreign body(H) (Anaes.) (Assist.)",428.95
49503,"Arthrotomy of knee, including one of the following: (a) meniscal surgery; (b) repair of collateral or cruciate ligament; (c) patellectomy; (d) single transfer of ligament or tendon; (e) repair or replacement of chondral or osteochondral surface (excluding prosthetic replacement); other than a service associated with a service to which another item in this Group applies (H) (Anaes.) (Assist.)",557.75
49506,"Arthrotomy of knee, including 2 or more of the following: (a) meniscal surgery; (b) repair of collateral or cruciate ligament; (c) patellectomy; (d) single transfer of ligament or tendon; (e) repair or replacement of chondral or osteochondral surface (excluding prosthetic replacement); other than a service associated with a service to which another item in this Group applies (H) (Anaes.) (Assist.)",836.65
49509,"Total synovectomy of knee, by open procedure, other than a service performed in association with a service to which another item in this Schedule applies if the service described in the other item is for the purpose of performing an arthroplasty (H) (Anaes.) (Assist.)",858.1
49516,Bilateral unicompartmental arthroplasty of femur and proximal tibia of knee (H) (Anaes.) (Assist.),2405.05
49517,Unicompartmental arthroplasty of femur and proximal tibia of knee (H) (Anaes.) (Assist.),1374.3
49518,"Total arthroplasty of knee, including either or both of the following (if performed): (a) revision of patello-femoral joint replacement to total knee replacement; (b) patellar resurfacing; other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",1501.3
49519,"Bilateral total arthroplasty of knee, including patellar resurfacing, other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",2637.7
49521,"Complex primary arthroplasty of knee, using revision femoral or tibial components, including either or both of the following (if performed): (a) ligament reconstruction; (b) patellar resurfacing; other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",1823.45
49524,"Complex primary arthroplasty of knee: (a) using revision femoral and tibial components; or (b) using revision femoral or tibial components including anatomic specific allograft of femur or tibia; including either or both of the following (if performed): (c) ligament reconstruction; (d) patellar resurfacing; other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",2145.15
49527,"Minor revision of total or partial arthroplasty of knee, including either or both of the following: (a) exchange of polyethylene component (including uni); (b) insertion of patellar component; other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",1501.3
49530,"Revision of total or partial arthroplasty of knee, with exchange of femoral or tibial component: (a) excluding revision of unicompartmental with unicompartmental implants; and (b) including patellar resurfacing (if performed); other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",2252.5
49533,"Revision of total or partial arthroplasty of knee, with exchange of femoral and tibial components, excluding revision of unicompartmental with unicompartmental implants, including patellar resurfacing (if performed), other than a service associated with a service to which item 48245, 48248, 48251, 48254 or 48257 applies (H) (Anaes.) (Assist.)",2896.5
49534,"Arthroplastyof patella and trochlea of patello-femoral joint of knee, performed as a primary procedure (H) (Anaes.) (Assist.)",828.55
49536,"Either: (a) repair of cruciate ligaments of knee; or (b) repair or reconstruction of collateral ligaments of knee; by open or arthroscopic means, including either or both of the following (if performed): (c) graft harvest; (d) intraarticular knee surgery; other than a service associated with a service to which another item of this Schedule applies if the service described in the other item is for the purpose of performing a procedure on the knee by arthroscopic means (H) (Anaes.) (Assist.)",1072.5
49542,"Reconstruction of anterior or posterior cruciate ligament of knee, by open or arthroscopic means, including any of the following (if performed): (a) graft harvest; (b) donor site repair; (c) meniscal repair; (d) collateral ligament repair; (e) extra-articular tenodesis; (f) any other associated intra-articular surgery; other than a service associated with a service to which another item of this Schedule applies if the service described in the other item is for the purpose of performing a procedure on the knee by arthroscopic means (H) (Anaes.) (Assist.)",1501.3
49544,"Reconstruction of 2 or more cruciate or collateral ligaments of knee, by open or arthroscopic means, including any of the following (if performed): (a) ligament repair; (b) graft harvest donor site repair; (c) meniscal repair; (d) any other associated intra-articular surgery; other than a service associated with a service to which another item of this Schedule applies if the service described in the other item is for the purpose of performing a procedure on the knee by arthroscopic means (H) (Anaes.) (Assist.)",1747.9
49551,"Knee, revision of procedures to which item 49536 or 49542 applies (H) (Anaes.) (Assist.)",1501.3
49564,"Stabilisation of patellofemoral joint of knee, by combined open and arthroscopic means, including either or both of the following (if performed): (a) medial soft tissue reconstruction and tendon transfer; (b) tibial tuberosity transfer with bone graft and internal fixation; other than a service associated with a service to which another item of this Schedule applies if the service describedin the other item is for the purpose of performing a procedure on the knee by arthroscopic means (H) (Anaes.) (Assist.)",1047.05
49565,"Reconstruction of patellofemoral joint of knee, by combined open and arthroscopic means, including: (a) both of the following: (i) medial soft tissue reconstruction; (ii) tibial tuberosity transfer; and (b) any of the following (if performed): (i) bone graft; (ii) internal fixation; (iii) trochleoplasty; other than a service associated with a service to which another item of this Schedule applies if the service describedin the other item is for the purpose of performing a procedure on the knee by arthroscopic means (H) (Anaes.) (Assist.)",1502.75
49570,"Diagnosis of knee, by arthroscopic means, when the pre-procedure diagnosis is undetermined, including either or both of the following (if performed): (a) biopsy; (b) lavage (H) (Anaes.) (Assist.)",310.95
49572,"Partial meniscectomy of knee, by arthroscopic means, for atraumatic meniscus tear, other than a service to which another item of this Schedule applies if the service described in the other item is for the purpose of treating osteoarthritis (H) (Anaes.) (Assist.)",756.75
49574,"Removal of loose bodies of knee, by arthroscopic means—one or more bodies (H) (Anaes.) (Assist.)",756.75
49576,"Repair of chondral lesion of knee, by arthroscopic means, including either or both of the following (if performed): (a) microfracture; (b) microdrilling; other than a service performed in combination with a service to which another item of this Schedule applies if the servicedescribedin the other item is for the purpose of performing chondral or osteochondral grafts (H) (Anaes.) (Assist.)",756.75
49578,"Release of soft tissue, lateral release or osteoplasty of knee, by arthroscopic means, other than a service performed in combination with a service to which another item of this Schedule applies if the service describedin the other item is for the purpose of stabilising the patellofemoral joint of the knee (H) (Anaes.) (Assist.)",756.75
49580,"Partial meniscectomy of knee, by arthroscopic means, for traumatic meniscus tear (H) (Anaes.) (Assist.)",756.75
49582,"Meniscal repair of knee, by arthroscopic means (H) (Anaes.) (Assist.)",883.6
49584,"Chondral, osteochondral or meniscal graft of knee, by arthroscopic means (H) (Anaes.) (Assist.)",883.6
49586,"Synovectomy of knee, by arthroscopic means, for neoplasia or inflammatory arthropathy, other than a service to which another item of this Schedule applies if the service describedin the other item is for the purpose of treating uncomplicated osteoarthritis (Anaes.) (Assist.)",883.6
49590,"Excision of ganglion, cyst or bursa of knee, by open or arthroscopic means, performed as an independent procedure, other than a service associated with a service to which another item in this Group applies (Anaes.) (Assist.)",423.25
49703,"Surgery of ankle joint, by arthroscopic means, including any of the following (if performed): (a) cartilage treatment; (b) removal of loose bodies; (c) synovectomy; (d) excision of joint osteophytes; other than a service associated with a service to which another item in this Group applies if the service describedin the other item is for the purpose of performing a procedure on the ankle by arthroscopic means (H) (Anaes.) (Assist.)",697.2
49709,"Stabilisation of ligament of ankle or subtalar joint (or both), including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) joint debridement; —one ligament complex, each incision (H) (Anaes.) (Assist.)",804.3
49712,"Arthrodesis of ankle, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joint (H) (Anaes.) (Assist.)",1072.5
49715,"Total replacement of ankle, with prosthetic replacement of ankle joint, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joint (H) (Anaes.) (Assist.)",1286.9
49718,"Primary repair of major tendon of ankle, by any method, including either or both of the following (if performed): (a) synovial biopsy; (b) synovectomy —one tendon (H) (Anaes.) (Assist.)",428.95
49724,"Reconstruction of major tendon of ankle, by any method, including any of the following (if performed): (a) synovial biopsy; (b) synovectomy; (c) adjacent tendon transfer; (d) turn down flaps; other than a service associated with a service to which item 49718 applies (H) (Anaes.) (Assist.)",750.9
49728,"Lengthening of Achilles’ tendon, by any method, with gastro-soleus lengthening for the correction of equinous deformity, including either or both of the following (if performed): (a) synovial biopsy; (b) synovectomy; other than a service associated with a service to which item 49727 applies (H) (Anaes.) (Assist.)",643.35
49732,"Endoscopy of large tendons of foot, including any of the following (if performed): (a) debridement of tendon and sheath; (b) removal of loose bodies; (c) synovectomy; (d) excision of tendon impingement; other than a service associated with a service to which item 49718 or 49724 applies (H) (Anaes.) (Assist.)",697.2
49734,"Arthrotomy of hindfoot, midfoot or metatarsophalangeal joint, including: (a) removal of loose bodies; and (b) either or both of the following: (i) joint debridement; (ii) release of joint contracture; —each incision (H) (Anaes.) (Assist.)",375.45
49742,"Arthrodesis of extended ankle and hindfoot, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joint (H) (Anaes.) (Assist.)",1518.8
49761,"Stabilisation of metatarsophalangeal joint at metatarsal, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) osteotomy, with or without fixation; (e) local tendon transfer; (f) local tendon lengthening or release; (g) ligament repair; (h) joint debridement; —one metatarsal (H) (Anaes.) (Assist.)",589.9
49762,"Stabilisation of metatarsophalangeal joint at metatarsals, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) osteotomy, with or without fixation; (e) local tendon transfer; (f) local tendon lengthening or release; (g) ligament repair; (h) joint debridement; —2 metatarsals (H) (Anaes.) (Assist.)",884.8
49769,"Unilateral correction of hallux valgus or varus deformity, by osteotomy of first metatarsal and proximal phalanx of first toe, with internal fixation of both bones, including any of the following (if performed): (a) exostectomy; (b) removal of bursae; (c) synovectomy; (d) capsule repair; (e) capsule or tendon release or transfer (H) (Anaes.) (Assist.)",1032.3
49770,"Bilateral correction of hallux valgus or varus deformity, by osteotomy of first metatarsal and proximal phalanx of first toe, with internal fixation of both bones, including any of the following (if performed): (a) exostectomy; (b) removal of bursae; (c) synovectomy; (d) capsule repair; (e) capsule or tendon release or transfer (H) (Anaes.) (Assist.)",1715.85
49771,"Synovectomy of major tendon of ankle, for extensive synovitis by any method, including any of the following (if performed): (a) tenolysis; (b) debridement of ligament or tendon (or both); (c) release of ligament or tendon (or both); (d) excision of tubercule or osteophyte; (e) reconstruction of tendon retinaculum; (f) neurolysis; other than a service associated with a service to which item 30023 applies that is performed at the same site—each incision (H) (Anaes.) (Assist.)",423.25
49777,"Arthrodesis of joint of midfoot, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joint; —one joint (H) (Anaes.) (Assist.)",792.85
49778,"Arthrodesis of joints of midfoot, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joints; —2 joints (H) (Anaes.) (Assist.)",1189.3
49779,"Arthrodesis of joints of midfoot, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joints; —3 joints (H) (Anaes.) (Assist.)",1387.45
49780,"Arthrodesis of joints of midfoot, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joints; —4 joints (H) (Anaes.) (Assist.)",1585.6
49789,"Bilateral arthrodesis of first metatarsophalangeal joint, by open or arthroscopic means, with internal or external fixation by any method, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of osteophytes at joint (H) (Anaes.) (Assist.)",1273.35
49790,"Revision of arthrodesis of first metatarsophalangeal joint, including any of the following (if performed): (a) capsulotomy; (b) joint release; (c) synovectomy; (d) removal of exostosis at joint; (e) removal of hardware; (f) osteotomy of non-union or malunion (H) (Anaes.) (Assist.)",1106
49792,"Arthrodesis, osteotomy or interpositional arthroplasty of proximal or distal joint (or both) of lesser toe, including any of the following (if performed): (a) internal fixation, by any method; (b) capsulotomy; (c) joint release; (d) synovectomy; (e) removal of osteophytes at joints; —one or 2 toes (H) (Anaes.) (Assist.)",563.25
